# time = 180.001
# Grid Points = 1024
                 # mixf_00                 # mixf_01                 # mixf_02
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -5.8765563275e-01  -7.3923227492e-01
  -5.0000000000e-01  -5.8765563275e-01  -7.3923227492e-01
  -5.0000000000e-01  -5.8765563275e-01  -7.3923227492e-01
  -5.0000000000e-01  -5.8765563275e-01  -7.3923227492e-01
  -5.0000000000e-01  -5.8765563275e-01  -4.4825346391e-01
  -5.0000000000e-01  -5.8765563275e-01  -4.4825346391e-01
  -5.0000000000e-01  -5.8765563275e-01  -4.4825346391e-01
  -5.0000000000e-01  -5.8765563275e-01  -4.4825346391e-01
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -5.8765563275e-01  -3.8718485581e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -9.6862608294e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -6.6584467253e-01  -7.9943002867e-01
  -5.0000000000e-01  -5.3086699556e-01  -7.8688760923e-01
  -5.0000000000e-01  -5.3086699556e-01  -7.8688760923e-01
  -5.0000000000e-01  -5.3086699556e-01  -6.6243887962e-01
  -5.0000000000e-01  -5.3086699556e-01  -6.6243887962e-01
  -5.0000000000e-01  -5.3086699556e-01  -6.5863938859e-01
