# time = 4.00734e-05
# Grid Points = 128
             # Temp                 # enthalpy                 # H2                 # H                 # O                 # O2                 # OH                 # H2O                 # HO2                 # H2O2                 # C                 # CH                 # CH2                 # CH2(S)                 # CH3                 # CH4                 # CO                 # CO2                 # HCO                 # CH2O                 # CH2OH                 # CH3O                 # CH3OH                 # C2H                 # C2H2                 # C2H3                 # C2H4                 # C2H5                 # C2H6                 # HCCO                 # CH2CO                 # HCCOH                 # N                 # NH                 # NH2                 # NH3                 # NNH                 # NO                 # NO2                 # N2O                 # HNO                 # CN                 # HCN                 # H2CN                 # HCNN                 # HCNO                 # HOCN                 # HNCO                 # NCO                 # N2                 # AR                 # C3H7                 # C3H8                 # CH2CHO                 # CH3CHO
   8.0351008463e+02   1.2149994999e+05   3.1454404370e-04   2.9831645776e-06   1.3585141482e-05   1.7204208892e-01   2.0727624812e-04   1.8194144133e-02   7.4678653571e-04   1.9008932282e-05   4.3020679111e-12   2.0166648164e-09   1.3888693510e-06   8.6051966084e-08   1.1955329941e-04   2.2963909107e-04   1.6727843376e-02   2.5644757093e-02   8.9071588285e-06   8.3565480342e-04   1.5715827754e-06   1.2639642972e-04   1.1992537416e-04   1.6904770482e-10   3.9006681325e-04   1.1100607444e-05   4.5165087827e-02   1.0751996890e-04   1.0473402908e-04   2.0381982372e-06   6.4698931527e-04   8.6178101981e-07   5.0736185274e-08   1.5736022231e-07   6.1129272825e-07   5.6379804213e-07   1.7051291362e-11   4.0279609364e-04   3.0684293088e-05   2.3513890422e-06   4.6385442659e-07   1.1132831053e-11   1.8292186162e-05   1.9247310902e-07   2.1508008968e-10   1.2176154424e-05   3.7421592015e-08   3.5259376851e-05   3.0298097247e-07   7.1733733063e-01   5.2466223893e-24   9.4875397223e-07   1.3381776650e-05   3.1051302591e-04   4.9468373804e-05
   8.0351008477e+02   1.2149994999e+05   3.1454404370e-04   2.9831645776e-06   1.3585141482e-05   1.7204208892e-01   2.0727624812e-04   1.8194144133e-02   7.4678653571e-04   1.9008932282e-05   4.3020679111e-12   2.0166648164e-09   1.3888693510e-06   8.6051966084e-08   1.1955329941e-04   2.2963909107e-04   1.6727843376e-02   2.5644757093e-02   8.9071588285e-06   8.3565480342e-04   1.5715827754e-06   1.2639642972e-04   1.1992537416e-04   1.6904770482e-10   3.9006681325e-04   1.1100607444e-05   4.5165087827e-02   1.0751996890e-04   1.0473402908e-04   2.0381982372e-06   6.4698931527e-04   8.6178101981e-07   5.0736185274e-08   1.5736022231e-07   6.1129272825e-07   5.6379804213e-07   1.7051291362e-11   4.0279609364e-04   3.0684293088e-05   2.3513890422e-06   4.6385442659e-07   1.1132831053e-11   1.8292186162e-05   1.9247310902e-07   2.1508008968e-10   1.2176154424e-05   3.7421592015e-08   3.5259376851e-05   3.0298097247e-07   7.1733733063e-01   5.2466223893e-24   9.4875397223e-07   1.3381776650e-05   3.1051302591e-04   4.9468373804e-05
   8.0351008465e+02   1.2149994999e+05   3.1454404370e-04   2.9831645776e-06   1.3585141482e-05   1.7204208892e-01   2.0727624812e-04   1.8194144133e-02   7.4678653571e-04   1.9008932282e-05   4.3020679105e-12   2.0166648165e-09   1.3888693510e-06   8.6051966082e-08   1.1955329941e-04   2.2963909107e-04   1.6727843376e-02   2.5644757093e-02   8.9071588289e-06   8.3565480342e-04   1.5715827753e-06   1.2639642972e-04   1.1992537416e-04   1.6904770482e-10   3.9006681325e-04   1.1100607444e-05   4.5165087827e-02   1.0751996890e-04   1.0473402908e-04   2.0381982372e-06   6.4698931527e-04   8.6178101981e-07   5.0736185274e-08   1.5736022231e-07   6.1129272825e-07   5.6379804213e-07   1.7051291363e-11   4.0279609364e-04   3.0684293088e-05   2.3513890422e-06   4.6385442659e-07   1.1132831054e-11   1.8292186162e-05   1.9247310902e-07   2.1508008968e-10   1.2176154424e-05   3.7421592015e-08   3.5259376851e-05   3.0298097247e-07   7.1733733063e-01   5.2464756020e-24   9.4875397223e-07   1.3381776650e-05   3.1051302591e-04   4.9468373804e-05
   8.0351008477e+02   1.2149994999e+05   3.1454404370e-04   2.9831645776e-06   1.3585141482e-05   1.7204208892e-01   2.0727624812e-04   1.8194144133e-02   7.4678653571e-04   1.9008932282e-05   4.3020679105e-12   2.0166648165e-09   1.3888693510e-06   8.6051966082e-08   1.1955329941e-04   2.2963909107e-04   1.6727843376e-02   2.5644757093e-02   8.9071588289e-06   8.3565480342e-04   1.5715827753e-06   1.2639642972e-04   1.1992537416e-04   1.6904770482e-10   3.9006681325e-04   1.1100607444e-05   4.5165087827e-02   1.0751996890e-04   1.0473402908e-04   2.0381982372e-06   6.4698931527e-04   8.6178101981e-07   5.0736185274e-08   1.5736022231e-07   6.1129272825e-07   5.6379804213e-07   1.7051291363e-11   4.0279609364e-04   3.0684293088e-05   2.3513890422e-06   4.6385442659e-07   1.1132831054e-11   1.8292186162e-05   1.9247310902e-07   2.1508008968e-10   1.2176154424e-05   3.7421592015e-08   3.5259376851e-05   3.0298097247e-07   7.1733733063e-01   5.2464756020e-24   9.4875397223e-07   1.3381776650e-05   3.1051302591e-04   4.9468373804e-05
   8.5738646515e+02   1.2149994999e+05   2.9872591671e-04   2.1010144856e-06   1.2286435905e-05   1.6684401196e-01   1.9591211854e-04   2.0115296857e-02   9.4854464501e-04   2.5707202500e-05   2.0132182364e-12   1.3564060820e-09   1.2838026948e-06   7.5933412437e-08   1.1342799356e-04   2.6964324951e-04   1.7621703663e-02   2.9162190711e-02   1.0302614401e-05   1.0670375750e-03   1.7875685978e-06   1.8242578309e-04   1.6515773678e-04   2.3179598620e-10   2.6922164465e-04   1.3723783095e-05   4.3471124306e-02   1.1253107610e-04   1.3827386809e-04   1.8856985572e-06   6.2059630674e-04   1.3562596622e-07   3.0942028860e-08   1.1475807306e-07   5.1569130643e-07   5.1806415673e-07   1.5377975325e-11   4.6837249832e-04   4.2508414782e-05   2.4485552363e-06   5.1774045152e-07   1.7719397412e-11   1.7464332596e-05   2.3652193467e-07   1.0899314408e-10   8.4721287106e-06   4.2220133688e-08   3.3989728052e-05   2.9442582377e-07   7.1730524126e-01   8.4768247167e-24   1.3704505235e-06   1.8972665246e-05   3.6759390010e-04   6.6415356010e-05
   8.5738646626e+02   1.2149994999e+05   2.9872591671e-04   2.1010144856e-06   1.2286435905e-05   1.6684401196e-01   1.9591211854e-04   2.0115296857e-02   9.4854464501e-04   2.5707202500e-05   2.0132182364e-12   1.3564060820e-09   1.2838026948e-06   7.5933412437e-08   1.1342799356e-04   2.6964324951e-04   1.7621703663e-02   2.9162190711e-02   1.0302614401e-05   1.0670375750e-03   1.7875685978e-06   1.8242578309e-04   1.6515773678e-04   2.3179598620e-10   2.6922164465e-04   1.3723783095e-05   4.3471124306e-02   1.1253107610e-04   1.3827386809e-04   1.8856985572e-06   6.2059630674e-04   1.3562596622e-07   3.0942028860e-08   1.1475807306e-07   5.1569130643e-07   5.1806415673e-07   1.5377975325e-11   4.6837249832e-04   4.2508414782e-05   2.4485552363e-06   5.1774045152e-07   1.7719397412e-11   1.7464332596e-05   2.3652193467e-07   1.0899314408e-10   8.4721287106e-06   4.2220133688e-08   3.3989728052e-05   2.9442582377e-07   7.1730524126e-01   8.4768247167e-24   1.3704505235e-06   1.8972665246e-05   3.6759390010e-04   6.6415356010e-05
   3.0000000000e+02   1.2149994999e+05   3.2768095819e-04   1.4339308051e-05   4.2328294978e-05   1.7791696111e-01   3.0345343679e-04   1.6032043116e-02   3.7293633571e-04   7.0984563375e-06   1.5878528841e-09   7.0479098053e-08   4.4214442486e-06   2.9765475802e-07   1.7186533388e-04   1.5632530521e-04   1.5465126585e-02   2.2038459778e-02   2.6767894156e-05   4.5782390927e-04   3.6212083333e-06   2.5496341320e-05   4.2197119351e-05   1.9662083677e-08   5.0776152906e-04   5.1165364080e-05   4.7231718397e-02   3.0789634515e-05   4.0893711432e-05   1.0193236773e-05   6.6887870080e-04   1.6280742129e-06   1.0963496434e-07   2.5715875077e-07   7.3275454416e-07   6.1197232891e-07   2.4538129508e-10   3.4635744801e-04   5.7209979491e-06   2.1865004392e-06   3.4200618573e-07   5.1420656270e-10   1.9057296777e-05   1.1471704895e-07   2.4492932891e-09   1.5743958866e-05   3.2968689039e-08   3.5905073233e-05   3.6815642826e-07   7.1736938752e-01   2.0526263827e-24   2.3215564337e-07   2.9876855374e-06   2.2226572470e-04   2.5229022850e-05
   1.1311139461e+03   1.2149994999e+05   3.2768095819e-04   1.4339308051e-05   4.2328294978e-05   1.7791696111e-01   3.0345343679e-04   1.6032043116e-02   3.7293633571e-04   7.0984563375e-06   1.5878528841e-09   7.0479098053e-08   4.4214442486e-06   2.9765475802e-07   1.7186533388e-04   1.5632530521e-04   1.5465126585e-02   2.2038459778e-02   2.6767894156e-05   4.5782390927e-04   3.6212083333e-06   2.5496341320e-05   4.2197119351e-05   1.9662083677e-08   5.0776152906e-04   5.1165364080e-05   4.7231718397e-02   3.0789634515e-05   4.0893711432e-05   1.0193236773e-05   6.6887870080e-04   1.6280742129e-06   1.0963496434e-07   2.5715875077e-07   7.3275454416e-07   6.1197232891e-07   2.4538129508e-10   3.4635744801e-04   5.7209979491e-06   2.1865004392e-06   3.4200618573e-07   5.1420656270e-10   1.9057296777e-05   1.1471704895e-07   2.4492932891e-09   1.5743958866e-05   3.2968689039e-08   3.5905073233e-05   3.6815642826e-07   7.1736938752e-01   2.0526263827e-24   2.3215564337e-07   2.9876855374e-06   2.2226572470e-04   2.5229022850e-05
   1.0333332931e+03   1.2149994999e+05   5.7089559607e-04   3.3175915925e-06   1.0570321649e-05   1.4881664078e-01   1.0808934354e-04   2.7298532054e-02   7.3655230973e-04   4.9552363317e-05   3.3374781695e-12   1.3614465283e-09   7.7276060948e-07   4.0081782083e-08   1.1860967489e-04   3.5652252752e-04   2.2946307965e-02   3.9797709060e-02   8.6923077474e-06   1.3105308582e-03   8.4162742314e-07   5.2036428927e-05   9.4237943285e-05   3.7378248334e-09   1.1890755648e-03   1.3427038817e-05   3.4685942942e-02   5.9827789869e-05   1.2445823166e-04   7.2725009759e-06   3.1940508199e-03   3.2607526023e-06   7.0465432259e-09   1.1567167116e-07   1.0614062809e-06   6.0366188759e-07   4.4606721556e-11   6.5630068444e-04   7.0183986190e-05   1.7132138490e-06   5.0513440012e-07   2.6342313928e-11   1.1141501019e-05   9.0482848834e-09   6.1807270928e-11   9.0836562503e-05   1.5293753753e-08   7.5593636876e-05   3.7464593212e-07   7.1717205224e-01  -1.9486640215e-24   4.9856532158e-07   1.5587824880e-05   3.0086433580e-04   4.4869308338e-05
   1.0333200443e+03   1.2149994999e+05   5.7089559607e-04   3.3175915925e-06   1.0570321649e-05   1.4881664078e-01   1.0808934354e-04   2.7298532054e-02   7.3655230973e-04   4.9552363317e-05   3.3374781695e-12   1.3614465283e-09   7.7276060948e-07   4.0081782083e-08   1.1860967489e-04   3.5652252752e-04   2.2946307965e-02   3.9797709060e-02   8.6923077474e-06   1.3105308582e-03   8.4162742314e-07   5.2036428927e-05   9.4237943285e-05   3.7378248334e-09   1.1890755648e-03   1.3427038817e-05   3.4685942942e-02   5.9827789869e-05   1.2445823166e-04   7.2725009759e-06   3.1940508199e-03   3.2607526023e-06   7.0465432259e-09   1.1567167116e-07   1.0614062809e-06   6.0366188759e-07   4.4606721556e-11   6.5630068444e-04   7.0183986190e-05   1.7132138490e-06   5.0513440012e-07   2.6342313928e-11   1.1141501019e-05   9.0482848834e-09   6.1807270928e-11   9.0836562503e-05   1.5293753753e-08   7.5593636876e-05   3.7464593212e-07   7.1717205224e-01  -1.9486640215e-24   4.9856532158e-07   1.5587824880e-05   3.0086433580e-04   4.4869308338e-05
