# time = 0.00160177
# Grid Points = 128
             # Temp                 # enthalpy                 # H2                 # H                 # O                 # O2                 # OH                 # H2O                 # HO2                 # H2O2                 # C                 # CH                 # CH2                 # CH2(S)                 # CH3                 # CH4                 # CO                 # CO2                 # HCO                 # CH2O                 # CH2OH                 # CH3O                 # CH3OH                 # C2H                 # C2H2                 # C2H3                 # C2H4                 # C2H5                 # C2H6                 # HCCO                 # CH2CO                 # HCCOH                 # N                 # NH                 # NH2                 # NH3                 # NNH                 # NO                 # NO2                 # N2O                 # HNO                 # CN                 # HCN                 # H2CN                 # HCNN                 # HCNO                 # HOCN                 # HNCO                 # NCO                 # N2                 # AR                 # C3H7                 # C3H8                 # CH2CHO                 # CH3CHO
   2.2365741015e+03   1.2149994999e+05   5.0406100660e-04   1.1458961631e-04   1.3887617951e-03   1.9452234075e-02   4.6761430113e-03   7.4028682191e-02   2.5192063605e-06   1.1239867832e-07   1.6777757598e-16   1.0407797099e-16   1.0549470644e-16   9.0043321223e-18   3.2501601015e-16   4.7577581662e-17   3.1979301815e-02   1.5015690769e-01   1.8642806345e-08   8.2522737105e-11   1.6555301115e-15   2.6101549044e-17   3.6150814838e-17   1.8100989853e-22   1.1281437042e-20   6.7873911517e-25   2.3265159658e-25   1.0096731309e-29   2.9470233652e-31   1.6150052925e-18   2.1652192205e-18   5.9819390950e-22   1.5872173634e-08   2.1759241577e-09   1.7770295805e-10   1.2758558133e-10   6.4621962960e-09   2.5068987386e-04   6.5581441271e-08   2.3911674675e-07   9.8881803261e-09   1.3263272117e-13   9.9097408811e-12   2.3083411509e-17   1.1725129589e-19   3.2616610636e-17   3.1567513424e-13   1.0707100606e-10   1.7949307105e-11   7.1744550873e-01  -6.4558570076e-24   2.5520236151e-44   1.1956113646e-45   6.8378841979e-23   8.5756174197e-25
   2.2365741015e+03   1.2149994999e+05   5.0406100660e-04   1.1458961631e-04   1.3887617951e-03   1.9452234075e-02   4.6761430113e-03   7.4028682191e-02   2.5192063605e-06   1.1239867832e-07   1.6777757598e-16   1.0407797099e-16   1.0549470644e-16   9.0043321223e-18   3.2501601015e-16   4.7577581662e-17   3.1979301815e-02   1.5015690769e-01   1.8642806345e-08   8.2522737105e-11   1.6555301115e-15   2.6101549044e-17   3.6150814838e-17   1.8100989853e-22   1.1281437042e-20   6.7873911517e-25   2.3265159658e-25   1.0096731309e-29   2.9470233652e-31   1.6150052925e-18   2.1652192205e-18   5.9819390950e-22   1.5872173634e-08   2.1759241577e-09   1.7770295805e-10   1.2758558133e-10   6.4621962960e-09   2.5068987386e-04   6.5581441271e-08   2.3911674675e-07   9.8881803261e-09   1.3263272117e-13   9.9097408811e-12   2.3083411509e-17   1.1725129589e-19   3.2616610636e-17   3.1567513424e-13   1.0707100606e-10   1.7949307105e-11   7.1744550873e-01  -6.4558570076e-24   2.5520236151e-44   1.1956113646e-45   6.8378841979e-23   8.5756174197e-25
   2.2354069966e+03   1.2149994999e+05   5.0597367128e-04   1.1553646030e-04   1.3985897611e-03   1.9509884468e-02   4.6870861217e-03   7.3997325504e-02   2.5328676484e-06   1.1284624476e-07   1.6708896748e-16   1.0478436421e-16   1.0626453509e-16   9.1081872170e-18   3.2903471537e-16   4.8036627812e-17   3.2066092697e-02   1.5002054616e-01   1.8857155024e-08   8.2988501949e-11   1.6816167928e-15   2.6498128509e-17   3.6545431170e-17   1.8133401250e-22   1.1292761778e-20   6.8876377551e-25   2.3611064314e-25   1.0323825811e-29   3.0192760239e-31   1.6190164451e-18   2.1827618595e-18   5.9651519877e-22   1.5835471694e-08   2.1852522921e-09   1.7736755175e-10   1.2682462761e-10   6.5109091524e-09   2.4999503334e-04   6.5247050120e-08   2.3874109322e-07   9.9037076501e-09   1.3224716117e-13   9.8684042215e-12   2.3250035498e-17   1.1836985431e-19   3.2201391286e-17   3.1229956391e-13   1.0627140073e-10   1.7874099271e-11   7.1744583346e-01  -6.4330874098e-24   2.6297367114e-44   1.2367289521e-45   6.9778429685e-23   8.7260268019e-25
   2.2354069966e+03   1.2149994999e+05   5.0597367128e-04   1.1553646030e-04   1.3985897611e-03   1.9509884468e-02   4.6870861217e-03   7.3997325504e-02   2.5328676484e-06   1.1284624476e-07   1.6708896748e-16   1.0478436421e-16   1.0626453509e-16   9.1081872170e-18   3.2903471537e-16   4.8036627812e-17   3.2066092697e-02   1.5002054616e-01   1.8857155024e-08   8.2988501949e-11   1.6816167928e-15   2.6498128509e-17   3.6545431170e-17   1.8133401250e-22   1.1292761778e-20   6.8876377551e-25   2.3611064314e-25   1.0323825811e-29   3.0192760239e-31   1.6190164451e-18   2.1827618595e-18   5.9651519877e-22   1.5835471694e-08   2.1852522921e-09   1.7736755175e-10   1.2682462761e-10   6.5109091524e-09   2.4999503334e-04   6.5247050120e-08   2.3874109322e-07   9.9037076501e-09   1.3224716117e-13   9.8684042215e-12   2.3250035498e-17   1.1836985431e-19   3.2201391286e-17   3.1229956391e-13   1.0627140073e-10   1.7874099271e-11   7.1744583346e-01  -6.4330874098e-24   2.6297367114e-44   1.2367289521e-45   6.9778429685e-23   8.7260268019e-25
   2.2373915496e+03   1.2149994999e+05   5.0272135291e-04   1.1392686316e-04   1.3818806595e-03   1.9411840211e-02   4.6684733830e-03   7.4050643912e-02   2.5096453765e-06   1.1208550939e-07   1.6826083646e-16   1.0358302253e-16   1.0495594565e-16   8.9317481629e-18   3.2220653674e-16   4.7256664533e-17   3.1918488848e-02   1.5025245372e-01   1.8492852744e-08   8.2196547993e-11   1.6372925254e-15   2.5824292876e-17   3.5874678510e-17   1.8078267115e-22   1.1273513532e-20   6.7173288166e-25   2.3023623964e-25   9.9382624394e-30   2.8966013260e-31   1.6121970629e-18   2.1529416604e-18   5.9937233857e-22   1.5897965293e-08   2.1694146621e-09   1.7794071013e-10   1.2812109441e-10   6.4280917546e-09   2.5118548461e-04   6.5818158587e-08   2.3937998064e-07   9.8776127282e-09   1.3290434775e-13   9.9388423664e-12   2.2967065120e-17   1.1646825801e-19   3.2908617790e-17   3.1804726155e-13   1.0763317086e-10   1.8002248091e-11   7.1744527711e-01  -6.4735779473e-24   2.4978378553e-44   1.1669611694e-45   6.7401402311e-23   8.4704652467e-25
   2.2373915496e+03   1.2149994999e+05   5.0272135291e-04   1.1392686316e-04   1.3818806595e-03   1.9411840211e-02   4.6684733830e-03   7.4050643912e-02   2.5096453765e-06   1.1208550939e-07   1.6826083646e-16   1.0358302253e-16   1.0495594565e-16   8.9317481629e-18   3.2220653674e-16   4.7256664533e-17   3.1918488848e-02   1.5025245372e-01   1.8492852744e-08   8.2196547993e-11   1.6372925254e-15   2.5824292876e-17   3.5874678510e-17   1.8078267115e-22   1.1273513532e-20   6.7173288166e-25   2.3023623964e-25   9.9382624394e-30   2.8966013260e-31   1.6121970629e-18   2.1529416604e-18   5.9937233857e-22   1.5897965293e-08   2.1694146621e-09   1.7794071013e-10   1.2812109441e-10   6.4280917546e-09   2.5118548461e-04   6.5818158587e-08   2.3937998064e-07   9.8776127282e-09   1.3290434775e-13   9.9388423664e-12   2.2967065120e-17   1.1646825801e-19   3.2908617790e-17   3.1804726155e-13   1.0763317086e-10   1.8002248091e-11   7.1744527711e-01  -6.4735779473e-24   2.4978378553e-44   1.1669611694e-45   6.7401402311e-23   8.4704652467e-25
   2.2375232354e+03   1.2149994999e+05   5.0250565189e-04   1.1381994645e-04   1.3807707991e-03   1.9405329255e-02   4.6672390510e-03   7.4054181957e-02   2.5081026860e-06   1.1203503554e-07   1.6833839902e-16   1.0350302978e-16   1.0486879061e-16   8.9200154819e-18   3.2175128742e-16   4.7204595109e-17   3.1908693791e-02   1.5026784283e-01   1.8468669056e-08   8.2143931196e-11   1.6343479390e-15   2.5779561404e-17   3.5830043894e-17   1.8074595043e-22   1.1272228701e-20   6.7060053706e-25   2.2985135393e-25   9.9128992447e-30   2.8884515284e-31   1.6117423050e-18   2.1509570978e-18   5.9956094890e-22   1.5902233165e-08   2.1683825575e-09   1.7798159339e-10   1.2820894378e-10   6.4225883454e-09   2.5127528668e-04   6.5858829195e-08   2.3942227448e-07   9.8762727171e-09   1.3294951290e-13   9.9436419693e-12   2.2948552655e-17   1.1634188057e-19   3.2956011456e-17   3.1843136158e-13   1.0772459292e-10   1.8010963785e-11   7.1744523514e-01  -6.4786266055e-24   2.4891178413e-44   1.1623250769e-45   6.7243625986e-23   8.4534091649e-25
   2.2375232349e+03   1.2149994999e+05   5.0250565189e-04   1.1381994645e-04   1.3807707991e-03   1.9405329255e-02   4.6672390510e-03   7.4054181957e-02   2.5081026860e-06   1.1203503554e-07   1.6833839902e-16   1.0350302978e-16   1.0486879061e-16   8.9200154819e-18   3.2175128742e-16   4.7204595109e-17   3.1908693791e-02   1.5026784283e-01   1.8468669056e-08   8.2143931196e-11   1.6343479390e-15   2.5779561404e-17   3.5830043894e-17   1.8074595043e-22   1.1272228701e-20   6.7060053706e-25   2.2985135393e-25   9.9128992447e-30   2.8884515284e-31   1.6117423050e-18   2.1509570978e-18   5.9956094890e-22   1.5902233165e-08   2.1683825575e-09   1.7798159339e-10   1.2820894378e-10   6.4225883454e-09   2.5127528668e-04   6.5858829195e-08   2.3942227448e-07   9.8762727171e-09   1.3294951290e-13   9.9436419693e-12   2.2948552655e-17   1.1634188057e-19   3.2956011456e-17   3.1843136158e-13   1.0772459292e-10   1.8010963785e-11   7.1744523514e-01  -6.4786266055e-24   2.4891178413e-44   1.1623250769e-45   6.7243625986e-23   8.4534091649e-25
   2.2317348498e+03   1.2149994999e+05   5.1200089753e-04   1.1855782525e-04   1.4298116658e-03   1.9690623716e-02   4.7212386497e-03   7.3898362603e-02   2.5765439191e-06   1.1427940612e-07   1.6500375682e-16   1.0701164456e-16   1.0873829637e-16   9.4481835273e-18   3.4217992747e-16   4.9541018743e-17   3.2337387213e-02   1.4959433601e-01   1.9545933905e-08   8.4461046986e-11   1.7664357221e-15   2.7786031398e-17   3.7812906713e-17   1.8235262071e-22   1.1329627715e-20   7.2159623185e-25   2.4749308275e-25   1.1081806758e-29   3.2625638683e-31   1.6318501510e-18   2.2389594690e-18   5.9146815148e-22   1.5716054701e-08   2.2146571968e-09   1.7626266965e-10   1.2443943734e-10   6.6659268672e-09   2.4750889722e-04   6.4131501876e-08   2.3757087523e-07   9.9403358432e-09   1.3101106004e-13   9.7385241640e-12   2.3777550449e-17   1.2193514050e-19   3.0936428737e-17   3.0194331128e-13   1.0379595087e-10   1.7636553819e-11   7.1744699523e-01  -6.2357710377e-24   2.8948932907e-44   1.3787833422e-45   7.4398478835e-23   9.2186235756e-25
   2.2317348498e+03   1.2149994999e+05   5.1200089753e-04   1.1855782525e-04   1.4298116658e-03   1.9690623716e-02   4.7212386497e-03   7.3898362603e-02   2.5765439191e-06   1.1427940612e-07   1.6500375682e-16   1.0701164456e-16   1.0873829637e-16   9.4481835273e-18   3.4217992747e-16   4.9541018743e-17   3.2337387213e-02   1.4959433601e-01   1.9545933905e-08   8.4461046986e-11   1.7664357221e-15   2.7786031398e-17   3.7812906713e-17   1.8235262071e-22   1.1329627715e-20   7.2159623185e-25   2.4749308275e-25   1.1081806758e-29   3.2625638683e-31   1.6318501510e-18   2.2389594690e-18   5.9146815148e-22   1.5716054701e-08   2.2146571968e-09   1.7626266965e-10   1.2443943734e-10   6.6659268672e-09   2.4750889722e-04   6.4131501876e-08   2.3757087523e-07   9.9403358432e-09   1.3101106004e-13   9.7385241640e-12   2.3777550449e-17   1.2193514050e-19   3.0936428737e-17   3.0194331128e-13   1.0379595087e-10   1.7636553819e-11   7.1744699523e-01  -6.2357710377e-24   2.8948932907e-44   1.3787833422e-45   7.4398478835e-23   9.2186235756e-25
